"Επίπεδο διοικητικής διαίρεσης";"Γεωγραφικός κωδικός";"Περιγραφή";"Σύνολο";"Σύνολο οικονομικών ενεργών";"Σύνολο απασχολούμενων";"Πρωτογενής Τομέας";"Δευτερογενής Τομέας";"Τριτογενής Τομέας";"Ανεργοι";"Οικονομικά μη ενεργοί"
2;3123;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΑΡΔΙΤΣΑΣ";113544;41421;33024;9512;4596;18916;8397;72123
2;3124;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΜΑΓΝΗΣΙΑΣ";190010;74526;60344;7236;12313;40795;14182;115484
2;3125;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΣΠΟΡΑΔΩΝ";13798;5836;4942;315;890;3737;894;7962
2;3126;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΤΡΙΚΑΛΩΝ";131085;49122;39382;7669;6990;24723;9740;81963
2;3227;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΦΘΙΩΤΙΔΑΣ";158231;60535;49322;10389;9318;29615;11213;97696
2;3228;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΒΟΙΩΤΙΑΣ";117920;51038;42085;8967;11734;21384;8953;66882
2;3229;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΕΥΒΟΙΑΣ";210815;84791;67990;8373;18227;41390;16801;126024
2;3230;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΕΥΡΥΤΑΝΙΑΣ";20081;6701;5111;1081;904;3126;1590;13380
2;3231;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΦΩΚΙΔΑΣ";40343;14213;11464;1685;2280;7499;2749;26130
2;4132;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΕΡΚΥΡΑΣ";104371;44762;36477;2510;4787;29180;8285;59609
2;4133;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΖΑΚΥΝΘΟΥ";40759;18271;15206;2158;1911;11137;3065;22488
2;4134;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΙΘΑΚΗΣ";3231;1233;1081;122;234;725;152;1998
2;4135;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΕΦΑΛΛΗΝΙΑΣ";35801;14762;12445;1303;2158;8984;2317;21039
2;4136;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΛΕΥΚΑΔΑΣ";23693;9665;8141;805;1484;5852;1524;14028
2;4237;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΧΑΪΑΣ";309694;122930;97034;9053;16925;71056;25896;186764
2;4238;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ";210802;76371;59738;15336;9491;34911;16633;134431
2;4239;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΗΛΕΙΑΣ";159300;61874;49571;15859;7263;26449;12303;97426
2;4340;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΡΚΑΔΙΑΣ";86685;33328;28236;5070;6255;16911;5092;53357
2;4341;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΡΓΟΛΙΔΑΣ";97044;40716;34165;8223;5784;20158;6551;56328
2;4342;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΟΡΙΝΘΙΑΣ";145082;59872;49454;10520;9395;29539;10418;85210
2;4343;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΛΑΚΩΝΙΑΣ";89138;35723;31014;12090;3951;14973;4709;53415
2;4344;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΜΕΣΣΗΝΙΑΣ";159954;64347;53892;14536;8355;31001;10455;95607
2;5145;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ";1029520;497617;401825;1828;63580;336417;95792;531903
2;5146;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ";592490;277938;241136;1160;33028;206948;36802;314552
2;5147;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ";489675;227400;182497;896;35884;145717;44903;262275
2;5148;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ";529826;246253;205795;884;29579;175332;40458;283573
2;5149;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ";502348;226409;188117;7552;37455;143110;38292;275939
2;5150;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ";160927;69669;53515;2545;14963;36007;16154;91258
2;5151;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΠΕΙΡΑΙΩΣ";448997;199030;157669;834;28268;128567;41361;249967
2;5152;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΝΗΣΩΝ";74651;27246;21649;1829;3804;16016;5597;47405
2;6153;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΛΕΣΒΟΥ";86436;32722;27909;4847;3916;19146;4813;53714
2;6154;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΙΚΑΡΙΑΣ";9882;3704;3068;703;553;1812;636;6178
2;6155;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΛΗΜΝΟΥ";17262;6843;5994;807;879;4308;849;10419
2;6156;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΣΑΜΟΥ";32977;13213;11435;1215;1503;8717;1778;19764
2;6157;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΧΙΟΥ";52674;20146;17503;1428;2809;13266;2643;32528
2;6258;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΣΥΡΟΥ";21507;9034;7525;218;1538;5769;1509;12473
2;6259;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΝΔΡΟΥ";9221;3554;3093;479;831;1783;461;5667
2;6260;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΘΗΡΑΣ";18883;9211;8066;387;1416;6263;1145;9672
2;6261;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΑΛΥΜΝΟΥ";29452;11255;9384;861;1778;6745;1871;18197
2;6262;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΑΡΠΑΘΟΥ";7310;3078;2572;218;453;1901;506;4232
2;6263;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΕΑΣ - ΚΥΘΝΟΥ";3911;1587;1447;274;416;757;140;2324
2;6264;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΩ";34396;17732;15684;446;1633;13605;2048;16664
2;6265;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΜΗΛΟΥ";9932;3709;3376;204;1002;2170;333;6223
2;6266;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΜΥΚΟΝΟΥ";10134;5555;4943;135;1006;3802;612;4579
2;6267;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΝΑΞΟΥ";20877;8614;7308;1019;1577;4712;1306;12263
2;6268;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΠΑΡΟΥ";14926;6537;5771;383;1456;3932;766;8389
2;6269;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΡΟΔΟΥ";119830;56486;48617;1396;6665;40556;7869;63344
2;6270;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΤΗΝΟΥ";8636;3664;3164;225;829;2110;500;4972
2;7171;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΗΡΑΚΛΕΙΟΥ";305490;133666;109627;14660;16642;78325;24039;171824
2;7172;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΛΑΣΙΘΙΟΥ";75381;33005;28593;7015;3355;18223;4412;42376
2;7173;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΡΕΘΥΜΝΟΥ";85609;35641;30499;5139;4358;21002;5142;49968
2;7174;"ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΧΑΝΙΩΝ";156585;67561;56999;6444;8385;42170;10562;89024
3;110101;"ΔΗΜΟΣ ΚΟΜΟΤΗΝΗΣ";66919;25386;20631;2879;3187;14565;4755;41533
3;110102;"ΔΗΜΟΣ ΑΡΡΙΑΝΩΝ";16577;7232;6658;5532;368;758;574;9345
3;110103;"ΔΗΜΟΣ ΙΑΣΜΟΥ";13810;5377;4505;2695;661;1149;872;8433
3;110104;"ΔΗΜΟΣ ΜΑΡΩΝΕΙΑΣ - ΣΑΠΩΝ";14733;5018;4004;2074;674;1256;1014;9715
3;110201;"ΔΗΜΟΣ ΔΡΑΜΑΣ";58944;23530;18021;1308;3527;13186;5509;35414
3;110202;"ΔΗΜΟΣ ΔΟΞΑΤΟΥ";14516;5192;3810;890;803;2117;1382;9324
3;110203;"ΔΗΜΟΣ ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ";7860;2687;2150;1111;288;751;537;5173
3;110204;"ΔΗΜΟΣ ΠΑΡΑΝΕΣΤΙΟΥ";3901;1088;808;271;147;390;280;2813
3;110205;"ΔΗΜΟΣ ΠΡΟΣΟΤΣΑΝΗΣ";13066;4223;3231;978;706;1547;992;8843
3;110301;"ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ";72959;30219;25044;1897;3198;19949;5175;42740
3;110302;"ΔΗΜΟΣ ΔΙΔΥΜΟΤΕΙΧΟΥ";19493;6308;5334;1265;514;3555;974;13185
