"Επίπεδο διοικητικής διαίρεσης";"Γεωγραφικός κωδικός";"Περιγραφή";"Σύνολο";"Σύνολο οικονομικών ενεργών";"Σύνολο απασχολούμενων";"Πρωτογενής Τομέας";"Δευτερογενής Τομέας";"Τριτογενής Τομέας";"Ανεργοι";"Οικονομικά μη ενεργοί"
3;222101;"ΔΗΜΟΣ ΠΡΕΒΕΖΑΣ";31733;12717;10509;1773;1591;7145;2208;19016
3;222102;"ΔΗΜΟΣ ΖΗΡΟΥ";13892;4725;3707;859;708;2140;1018;9167
3;222103;"ΔΗΜΟΣ ΠΑΡΓΑΣ";11866;4528;3762;1192;498;2072;766;7338
3;312201;"ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ";162591;68899;56186;3077;9698;43411;12713;93692
3;312202;"ΔΗΜΟΣ ΑΓΙΑΣ";11470;3883;3346;1543;406;1397;537;7587
3;312203;"ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ";32121;10902;9066;3686;1392;3988;1836;21219
3;312204;"ΔΗΜΟΣ ΚΙΛΕΛΕΡ";20854;7996;6690;2525;998;3167;1306;12858
3;312205;"ΔΗΜΟΣ ΤΕΜΠΩΝ";13712;4508;3751;1184;820;1747;757;9204
3;312206;"ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ";25032;9743;8185;2855;1449;3881;1558;15289
3;312207;"ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ";18545;6591;5489;2352;799;2338;1102;11954
3;312301;"ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ";56747;22536;17889;2242;2805;12842;4647;34211
3;312302;"ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ";3450;802;572;206;123;243;230;2648
3;312303;"ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ";4635;1156;956;220;175;561;200;3479
3;312304;"ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ";13122;4230;3322;1244;520;1558;908;8892
3;312305;"ΔΗΜΟΣ ΠΑΛΑΜΑ";16726;6455;5492;3076;499;1917;963;10271
3;312306;"ΔΗΜΟΣ ΣΟΦΑΔΩΝ";18864;6242;4793;2524;474;1795;1449;12622
3;312401;"ΔΗΜΟΣ ΒΟΛΟΥ";144449;57685;46119;2167;9700;34252;11566;86764
3;312402;"ΔΗΜΟΣ ΑΛΜΥΡΟΥ";18614;6891;5801;1748;1143;2910;1090;11723
3;312403;"ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ";5809;2271;2047;1052;269;726;224;3538
3;312404;"ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ";10216;3592;3080;1160;540;1380;512;6624
3;312405;"ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ";10922;4087;3297;1109;661;1527;790;6835
3;312501;"ΔΗΜΟΣ ΣΚΙΑΘΟΥ";6088;2984;2551;74;358;2119;433;3104
3;312502;"ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ";2750;973;791;98;193;500;182;1777
3;312503;"ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ";4960;1879;1600;143;339;1118;279;3081
3;312601;"ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ";81355;32323;25972;3127;4496;18349;6351;49032
3;312602;"ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ";21991;7217;5754;1570;1061;3123;1463;14774
3;312603;"ΔΗΜΟΣ ΠΥΛΗΣ";14343;4882;3743;1100;751;1892;1139;9461
3;312604;"ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ";13396;4700;3913;1872;682;1359;787;8696
3;322701;"ΔΗΜΟΣ ΛΑΜΙΕΩΝ";75315;30266;24326;2267;4562;17497;5940;45049
3;322702;"ΔΗΜΟΣ ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ";10922;4071;3408;1246;521;1641;663;6851
3;322703;"ΔΗΜΟΣ ΔΟΜΟΚΟΥ";11495;4158;3673;1807;433;1433;485;7337
3;322704;"ΔΗΜΟΣ ΛΟΚΡΩΝ";19623;7440;6297;1736;1699;2862;1143;12183
3;322705;"ΔΗΜΟΣ ΜΑΚΡΑΚΩΜΗΣ";16036;5245;3988;976;785;2227;1257;10791
3;322706;"ΔΗΜΟΣ ΜΩΛΟΥ - ΑΓΙΟΥ ΚΩΝΣΤΑΝΤΙΝΟΥ";12090;4479;3655;1023;593;2039;824;7611
3;322707;"ΔΗΜΟΣ ΣΤΥΛΙΔΟΣ";12750;4876;3975;1334;725;1916;901;7874
3;322801;"ΔΗΜΟΣ ΛΕΒΑΔΕΩΝ";31315;13088;10673;1259;2539;6875;2415;18227
3;322802;"ΔΗΜΟΣ ΑΛΙΑΡΤΟΥ";10887;4711;3706;1046;934;1726;1005;6176
3;322803;"ΔΗΜΟΣ ΔΙΣΤΟΜΟΥ - ΑΡΑΧΟΒΑΣ - ΑΝΤΙΚΥΡΑΣ";8188;3269;2693;151;1083;1459;576;4919
3;322804;"ΔΗΜΟΣ ΘΗΒΑΙΩΝ";36477;16356;13695;3519;3513;6663;2661;20121
3;322805;"ΔΗΜΟΣ ΟΡΧΟΜΕΝΟΥ";11621;4540;3691;1586;685;1420;849;7081
3;322806;"ΔΗΜΟΣ ΤΑΝΑΓΡΑΣ";19432;9074;7627;1406;2980;3241;1447;10358
3;322901;"ΔΗΜΟΣ ΧΑΛΚΙΔΕΩΝ";102223;45268;36391;2499;10367;23525;8877;56955
3;322902;"ΔΗΜΟΣ ΔΙΡΦΥΩΝ - ΜΕΣΣΑΠΙΩΝ";18800;7523;6067;1600;1700;2767;1456;11277
3;322903;"ΔΗΜΟΣ ΕΡΕΤΡΙΑΣ";13053;5032;3877;364;1080;2433;1155;8021
3;322904;"ΔΗΜΟΣ ΙΣΤΙΑΙΑΣ - ΑΙΔΗΨΟΥ";21083;7739;6242;1440;1085;3717;1497;13344
3;322905;"ΔΗΜΟΣ ΚΑΡΥΣΤΟΥ";12180;4358;3605;759;815;2031;753;7822
3;322906;"ΔΗΜΟΣ ΚΥΜΗΣ - ΑΛΙΒΕΡΙΟΥ";28437;9432;7722;974;2305;4443;1710;19005
3;322907;"ΔΗΜΟΣ ΜΑΝΤΟΥΔΙΟΥ - ΛΙΜΝΗΣ - ΑΓΙΑΣ ΑΝΝΑΣ";12045;4237;3032;602;709;1721;1205;7808
3;322908;"ΔΗΜΟΣ ΣΚΥΡΟΥ";2994;1202;1054;135;166;753;148;1792
3;323001;"ΔΗΜΟΣ ΚΑΡΠΕΝΗΣΙΟΥ";13105;4760;3715;467;661;2587;1045;8345
3;323002;"ΔΗΜΟΣ ΑΓΡΑΦΩΝ";6976;1941;1396;614;243;539;545;5035
3;323101;"ΔΗΜΟΣ ΔΕΛΦΩΝ";26716;10273;8378;1016;1675;5687;1895;16443
3;323102;"ΔΗΜΟΣ ΔΩΡΙΔΟΣ";13627;3940;3086;669;605;1812;854;9687
3;413201;"ΔΗΜΟΣ ΚΕΡΚΥΡΑΣ";102071;43773;35594;2374;4655;28565;8179;58298
3;413202;"ΔΗΜΟΣ ΠΑΞΩΝ";2300;989;883;136;132;615;106;1311
3;413301;"ΔΗΜΟΣ ΖΑΚΥΝΘΟΥ";40759;18271;15206;2158;1911;11137;3065;22488
3;413401;"ΔΗΜΟΣ ΙΘΑΚΗΣ";3231;1233;1081;122;234;725;152;1998
3;413501;"ΔΗΜΟΣ ΚΕΦΑΛΟΝΙΑΣ";35801;14762;12445;1303;2158;8984;2317;21039
3;413601;"ΔΗΜΟΣ ΛΕΥΚΑΔΑΣ";22652;9346;7863;770;1447;5646;1483;13306
3;413602;"ΔΗΜΟΣ ΜΕΓΑΝΗΣΙΟΥ";1041;319;278;35;37;206;41;722
3;423701;"ΔΗΜΟΣ ΠΑΤΡΕΩΝ";213984;87763;68820;1477;11899;55444;18943;126221
3;423702;"ΔΗΜΟΣ ΑΙΓΙΑΛΕΙΑΣ";49872;19398;15515;3107;2941;9467;3883;30474
3;423703;"ΔΗΜΟΣ ΔΥΤΙΚΗΣ ΑΧΑΪΑΣ";25916;8956;7033;2340;1145;3548;1923;16960
3;423704;"ΔΗΜΟΣ ΕΡΥΜΑΝΘΟΥ";8877;3194;2625;1130;438;1057;569;5683
3;423705;"ΔΗΜΟΣ ΚΑΛΑΒΡΥΤΩΝ";11045;3619;3041;999;502;1540;578;7426
3;423801;"ΔΗΜΟΣ ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ";34416;12492;9948;3070;1397;5481;2544;21924
3;423802;"ΔΗΜΟΣ ΑΚΤΙΟΥ - ΒΟΝΙΤΣΑΣ";17370;6032;4905;2038;820;2047;1127;11338
3;423803;"ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ";94181;35539;27172;4793;4327;18052;8367;58642
3;423804;"ΔΗΜΟΣ ΑΜΦΙΛΟΧΙΑΣ";17056;5654;4549;1937;659;1953;1105;11402
3;423805;"ΔΗΜΟΣ ΘΕΡΜΟΥ";8242;2543;2078;594;390;1094;465;5699
3;423806;"ΔΗΜΟΣ ΝΑΥΠΑΚΤΙΑΣ";27800;9982;7774;965;1610;5199;2208;17818
3;423807;"ΔΗΜΟΣ ΞΗΡΟΜΕΡΟΥ";11737;4129;3312;1939;288;1085;817;7608
3;423901;"ΔΗΜΟΣ ΠΥΡΓΟΥ";47995;18469;14652;2699;2177;9776;3817;29526
3;423902;"ΔΗΜΟΣ ΗΛΙΔΑΣ";32219;12889;10136;2788;1843;5505;2753;19330
3;423903;"ΔΗΜΟΣ ΑΝΔΡΑΒΙΔΑΣ - ΚΥΛΛΗΝΗΣ";21581;9261;7894;3590;884;3420;1367;12320
3;423904;"ΔΗΜΟΣ ΑΝΔΡΙΤΣΑΙΝΑΣ - ΚΡΕΣΤΕΝΩΝ";14109;4949;3769;1632;542;1595;1180;9160
3;423905;"ΔΗΜΟΣ ΑΡΧΑΙΑΣ ΟΛΥΜΠΙΑΣ";13409;4555;3714;1214;468;2032;841;8854
3;423906;"ΔΗΜΟΣ ΖΑΧΑΡΩΣ";8953;3152;2580;963;369;1248;572;5801
3;423907;"ΔΗΜΟΣ ΠΗΝΕΙΟΥ";21034;8599;6826;2973;980;2873;1773;12435
3;434001;"ΔΗΜΟΣ ΤΡΙΠΟΛΗΣ";47254;19837;17068;2299;3398;11371;2769;27417
3;434002;"ΔΗΜΟΣ ΒΟΡΕΙΑΣ ΚΥΝΟΥΡΙΑΣ";10341;3895;3214;815;624;1775;681;6446
3;434003;"ΔΗΜΟΣ ΓΟΡΤΥΝΙΑΣ";10109;2677;2172;675;468;1029;505;7432
3;434004;"ΔΗΜΟΣ ΜΕΓΑΛΟΠΟΛΗΣ";10687;3735;3097;254;1338;1505;638;6952
3;434005;"ΔΗΜΟΣ ΝΟΤΙΑΣ ΚΥΝΟΥΡΙΑΣ";8294;3184;2685;1027;427;1231;499;5110
3;434101;"ΔΗΜΟΣ ΝΑΥΠΛΙΕΩΝ";33356;14327;12045;2283;1663;8099;2282;19029
3;434102;"ΔΗΜΟΣ ΑΡΓΟΥΣ - ΜΥΚΗΝΩΝ";42022;17605;14605;3917;2503;8185;3000;24417
3;434103;"ΔΗΜΟΣ ΕΠΙΔΑΥΡΟΥ";8115;3108;2713;1110;415;1188;395;5007
3;434104;"ΔΗΜΟΣ ΕΡΜΙΟΝΙΔΑΣ";13551;5676;4802;913;1203;2686;874;7875
3;434201;"ΔΗΜΟΣ ΚΟΡΙΝΘΙΩΝ";58192;24427;19965;2567;4436;12962;4462;33765
3;434202;"ΔΗΜΟΣ ΒΕΛΟΥ - ΒΟΧΑΣ";19027;8016;6672;2007;1109;3556;1344;11011
3;434203;"ΔΗΜΟΣ ΛΟΥΤΡΑΚΙΟΥ - ΑΓΙΩΝ ΘΕΟΔΩΡΩΝ";21221;8450;6751;297;1505;4949;1699;12771
3;434204;"ΔΗΜΟΣ ΝΕΜΕΑΣ";6483;2592;2280;1112;258;910;312;3891
3;434205;"ΔΗΜΟΣ ΞΥΛΟΚΑΣΤΡΟΥ - ΕΥΡΩΣΤΙΝΗΣ";17365;6776;5718;1813;811;3094;1058;10589
3;434206;"ΔΗΜΟΣ ΣΙΚΥΩΝΙΩΝ";22794;9611;8068;2724;1276;4068;1543;13183
3;434301;"ΔΗΜΟΣ ΣΠΑΡΤΗΣ";35259;13900;11879;2865;1777;7237;2021;21359
3;434302;"ΔΗΜΟΣ ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ";13005;4821;4073;1349;564;2160;748;8184
3;434303;"ΔΗΜΟΣ ΕΛΑΦΟΝΗΣΟΥ";1041;433;366;84;42;240;67;608
3;434304;"ΔΗΜΟΣ ΕΥΡΩΤΑ";17891;7998;7192;4494;607;2091;806;9893
3;434305;"ΔΗΜΟΣ ΜΟΝΕΜΒΑΣΙΑΣ";21942;8571;7504;3298;961;3245;1067;13371
3;434401;"ΔΗΜΟΣ ΚΑΛΑΜΑΤΑΣ";69849;29749;23967;1746;4280;17941;5782;40100
3;434402;"ΔΗΜΟΣ ΔΥΤΙΚΗΣ ΜΑΝΗΣ";6945;2439;2160;742;371;1047;279;4506
3;434403;"ΔΗΜΟΣ ΜΕΣΣΗΝΗΣ";23482;8397;7050;2762;932;3356;1347;15085
3;434404;"ΔΗΜΟΣ ΟΙΧΑΛΙΑΣ";11228;3632;2996;991;524;1481;636;7596
3;434405;"ΔΗΜΟΣ ΠΥΛΟΥ - ΝΕΣΤΟΡΟΣ";21077;7925;6981;3140;925;2916;944;13152
3;434406;"ΔΗΜΟΣ ΤΡΙΦΥΛΙΑΣ";27373;12205;10738;5155;1323;4260;1467;15168
3;514501;"ΔΗΜΟΣ ΑΘΗΝΑΙΩΝ";664046;327389;260658;1273;42683;216702;66731;336657
3;514502;"ΔΗΜΟΣ ΒΥΡΩΝΟΣ";61308;28423;23679;81;3474;20124;4744;32885
3;514503;"ΔΗΜΟΣ ΓΑΛΑΤΣΙΟΥ";59345;28276;23395;115;3762;19518;4881;31069
3;514504;"ΔΗΜΟΣ ΔΑΦΝΗΣ - ΥΜΗΤΤΟΥ";33628;15877;13017;42;2067;10908;2860;17751
3;514505;"ΔΗΜΟΣ ΖΩΓΡΑΦΟΥ";71026;31956;26546;93;3173;23280;5410;39070
3;514506;"ΔΗΜΟΣ ΗΛΙΟΥΠΟΛΕΩΣ";78153;36410;30527;124;4519;25884;5883;41743
3;514507;"ΔΗΜΟΣ ΚΑΙΣΑΡΙΑΝΗΣ";26458;12431;10287;25;1378;8884;2144;14027
3;514508;"ΔΗΜΟΣ ΦΙΛΑΔΕΛΦΕΙΑΣ - ΧΑΛΚΗΔΟΝΟΣ";35556;16855;13716;75;2524;11117;3139;18701
3;514601;"ΔΗΜΟΣ ΑΜΑΡΟΥΣΙΟΥ";72333;34143;29960;139;3794;26027;4183;38190
3;514602;"ΔΗΜΟΣ ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ";59704;28166;24581;76;2798;21707;3585;31538
3;514603;"ΔΗΜΟΣ ΒΡΙΛΗΣΣΙΩΝ";30741;14376;12861;60;1586;11215;1515;16365
3;514604;"ΔΗΜΟΣ ΗΡΑΚΛΕΙΟΥ";49642;23824;20251;87;3335;16829;3573;25818
3;514605;"ΔΗΜΟΣ ΚΗΦΙΣΙΑΣ";71259;32282;28790;217;4011;24562;3492;38977
3;514606;"ΔΗΜΟΣ ΛΥΚΟΒΡΥΣΗΣ - ΠΕΥΚΗΣ";31153;14651;12663;76;1996;10591;1988;16502
3;514607;"ΔΗΜΟΣ ΜΕΤΑΜΟΡΦΩΣΕΩΣ";29891;14585;12170;81;2528;9561;2415;15306
3;514608;"ΔΗΜΟΣ ΝΕΑΣ ΙΩΝΙΑΣ";67134;32465;26325;127;4685;21513;6140;34669
3;514609;"ΔΗΜΟΣ ΠΑΠΑΓΟΥ - ΧΟΛΑΡΓΟΥ";44539;19773;17492;54;1778;15660;2281;24766
3;514610;"ΔΗΜΟΣ ΠΕΝΤΕΛΗΣ";34934;16470;14447;67;1891;12489;2023;18464
3;514611;"ΔΗΜΟΣ ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ";26968;12357;11267;45;1087;10135;1090;14611
3;514612;"ΔΗΜΟΣ ΧΑΛΑΝΔΡΙΟΥ";74192;34846;30329;131;3539;26659;4517;39346
3;514701;"ΔΗΜΟΣ ΠΕΡΙΣΤΕΡΙΟΥ";139981;65847;52316;257;10581;41478;13531;74134
3;514702;"ΔΗΜΟΣ ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ";26550;11277;8503;35;1620;6848;2774;15273
3;514703;"ΔΗΜΟΣ ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ - ΚΑΜΑΤΕΡΟΥ";62529;29390;23870;116;5186;18568;5520;33139
3;514704;"ΔΗΜΟΣ ΑΙΓΑΛΕΩ";69946;31877;24825;157;4749;19919;7052;38069
3;514705;"ΔΗΜΟΣ ΙΛΙΟΥ";84793;39469;31711;155;6673;24883;7758;45324
3;514706;"ΔΗΜΟΣ ΠΕΤΡΟΥΠΟΛΕΩΣ";58979;28322;23550;93;4137;19320;4772;30657
3;514707;"ΔΗΜΟΣ ΧΑΪΔΑΡΙΟΥ";46897;21218;17722;83;2938;14701;3496;25679
3;514801;"ΔΗΜΟΣ ΚΑΛΛΙΘΕΑΣ";100641;46707;37371;168;5665;31538;9336;53934
3;514802;"ΔΗΜΟΣ ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ";71294;34137;28261;145;5013;23103;5876;37157
3;514803;"ΔΗΜΟΣ ΑΛΙΜΟΥ";41720;19262;16653;60;2181;14412;2609;22458
3;514804;"ΔΗΜΟΣ ΓΛΥΦΑΔΑΣ";87305;39814;34153;158;4486;29509;5661;47491
3;514805;"ΔΗΜΟΣ ΕΛΛΗΝΙΚΟΥ - ΑΡΓΥΡΟΥΠΟΛΗΣ";51356;23539;19979;79;3018;16882;3560;27817
3;514806;"ΔΗΜΟΣ ΜΟΣΧΑΤΟΥ - ΤΑΥΡΟΥ";40413;19394;15579;78;2761;12740;3815;21019
3;514807;"ΔΗΜΟΣ ΝΕΑΣ ΣΜΥΡΝΗΣ";73076;34518;29303;79;3394;25830;5215;38558
3;514808;"ΔΗΜΟΣ ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ";64021;28882;24496;117;3061;21318;4386;35139
3;514901;"ΔΗΜΟΣ ΑΧΑΡΝΩΝ";106943;49730;38480;534;9606;28340;11250;57213
3;514902;"ΔΗΜΟΣ ΒΑΡΗΣ - ΒΟΥΛΑΣ - ΒΟΥΛΙΑΓΜΕΝΗΣ";48399;21152;18568;159;2286;16123;2584;27247
3;514903;"ΔΗΜΟΣ ΔΙΟΝΥΣΟΥ";40193;18598;16530;127;2884;13519;2068;21595
3;514904;"ΔΗΜΟΣ ΚΡΩΠΙΑΣ";30307;13723;11225;447;2911;7867;2498;16584
3;514905;"ΔΗΜΟΣ ΛΑΥΡΕΩΤΙΚΗΣ";25102;10192;7747;229;1918;5600;2445;14910
3;514906;"ΔΗΜΟΣ ΜΑΡΑΘΩΝΟΣ";33423;16538;13953;3864;2154;7935;2585;16885
3;514907;"ΔΗΜΟΣ ΜΑΡΚΟΠΟΥΛΟΥ ΜΕΣΟΓΑΙΑΣ";20040;8674;7354;250;1484;5620;1320;11366
3;514908;"ΔΗΜΟΣ ΠΑΙΑΝΙΑΣ";26668;12657;10768;297;2149;8322;1889;14011
3;514909;"ΔΗΜΟΣ ΠΑΛΛΗΝΗΣ";54415;27154;23569;131;3943;19495;3585;27261
3;514910;"ΔΗΜΟΣ ΡΑΦΗΝΑΣ - ΠΙΚΕΡΜΙΟΥ";20266;9128;7920;93;1286;6541;1208;11138
3;514911;"ΔΗΜΟΣ ΣΑΡΩΝΙΚΟΥ";29002;12078;9980;294;1874;7812;2098;16924
3;514912;"ΔΗΜΟΣ ΣΠΑΤΩΝ - ΑΡΤΕΜΙΔΟΣ";33821;14442;11763;299;2429;9035;2679;19379
3;514913;"ΔΗΜΟΣ ΩΡΩΠΟΥ";33769;12343;10260;828;2531;6901;2083;21426
3;515001;"ΔΗΜΟΣ ΕΛΕΥΣΙΝΑΣ";29902;13701;11064;126;3361;7577;2637;16201
3;515002;"ΔΗΜΟΣ ΑΣΠΡΟΠΥΡΓΟΥ";30251;13187;9341;341;3248;5752;3846;17064
3;515003;"ΔΗΜΟΣ ΜΑΝΔΡΑΣ - ΕΙΔΥΛΛΙΑΣ";17885;7369;5995;320;1785;3890;1374;10516
3;515004;"ΔΗΜΟΣ ΜΕΓΑΡΕΩΝ";36924;15059;11694;1621;2920;7153;3365;21865
3;515005;"ΔΗΜΟΣ ΦΥΛΗΣ";45965;20353;15421;137;3649;11635;4932;25612
3;515101;"ΔΗΜΟΣ ΠΕΙΡΑΙΩΣ";163688;73551;59122;297;9215;49610;14429;90137
3;515102;"ΔΗΜΟΣ ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ";91045;39990;31842;175;5929;25738;8148;51055
3;515103;"ΔΗΜΟΣ ΚΟΡΥΔΑΛΛΟΥ";63445;26838;21351;86;3881;17384;5487;36607
3;515104;"ΔΗΜΟΣ ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ";105430;47393;37009;223;7546;29240;10384;58037
3;515105;"ΔΗΜΟΣ ΠΕΡΑΜΑΤΟΣ";25389;11258;8345;53;1697;6595;2913;14131
3;515201;"ΔΗΜΟΣ ΣΑΛΑΜΙΝΟΣ";39283;13546;10374;256;1795;8323;3172;25737
3;515202;"ΔΗΜΟΣ ΥΔΡΑΣ";1966;801;646;30;90;526;155;1165
3;515203;"ΔΗΜΟΣ ΑΓΚΙΣΤΡΙΟΥ";1142;425;363;10;70;283;62;717
3;515204;"ΔΗΜΟΣ ΑΙΓΙΝΑΣ";13056;5061;3963;246;786;2931;1098;7995
3;515205;"ΔΗΜΟΣ ΚΥΘΗΡΩΝ";4041;1616;1448;211;329;908;168;2425
3;515206;"ΔΗΜΟΣ ΠΟΡΟΥ";3993;1366;1163;108;115;940;203;2627
3;515207;"ΔΗΜΟΣ ΣΠΕΤΣΩΝ";4027;1651;1347;57;292;998;304;2376
3;515208;"ΔΗΜΟΣ ΤΡΟΙΖΗΝΙΑΣ";7143;2780;2345;911;327;1107;435;4363
3;615301;"ΔΗΜΟΣ ΛΕΣΒΟΥ";86436;32722;27909;4847;3916;19146;4813;53714
3;615401;"ΔΗΜΟΣ ΙΚΑΡΙΑΣ";8423;3276;2736;673;504;1559;540;5147
3;615402;"ΔΗΜΟΣ ΦΟΥΡΝΩΝ ΚΟΡΣΕΩΝ";1459;428;332;30;49;253;96;1031
3;615501;"ΔΗΜΟΣ ΛΗΜΝΟΥ";16992;6756;5915;781;866;4268;841;10236
3;615502;"ΔΗΜΟΣ ΑΓΙΟΥ ΕΥΣΤΡΑΤΙΟΥ";270;87;79;26;13;40;8;183
3;615601;"ΔΗΜΟΣ ΣΑΜΟΥ";32977;13213;11435;1215;1503;8717;1778;19764
3;615701;"ΔΗΜΟΣ ΧΙΟΥ";51390;19744;17154;1386;2758;13010;2590;31646
3;615702;"ΔΗΜΟΣ ΟΙΝΟΥΣΣΩΝ";826;243;219;26;38;155;24;583
3;615703;"ΔΗΜΟΣ ΨΑΡΩΝ";458;159;130;16;13;101;29;299
3;625801;"ΔΗΜΟΣ ΣΥΡΟΥ - ΕΡΜΟΥΠΟΛΗΣ";21507;9034;7525;218;1538;5769;1509;12473
3;625901;"ΔΗΜΟΣ ΑΝΔΡΟΥ";9221;3554;3093;479;831;1783;461;5667
3;626001;"ΔΗΜΟΣ ΘΗΡΑΣ";15550;7667;6687;236;1121;5330;980;7883
3;626002;"ΔΗΜΟΣ ΑΝΑΦΗΣ";271;111;99;28;16;55;12;160
3;626003;"ΔΗΜΟΣ ΙΗΤΩΝ";2024;986;880;73;187;620;106;1038
3;626004;"ΔΗΜΟΣ ΣΙΚΙΝΟΥ";273;101;86;15;18;53;15;172
3;626005;"ΔΗΜΟΣ ΦΟΛΕΓΑΝΔΡΟΥ";765;346;314;35;74;205;32;419
3;626101;"ΔΗΜΟΣ ΚΑΛΥΜΝΙΩΝ";16179;5881;4754;499;942;3313;1127;10298
3;626102;"ΔΗΜΟΣ ΑΓΑΘΟΝΗΣΙΟΥ";185;87;75;24;8;43;12;98
3;626103;"ΔΗΜΟΣ ΑΣΤΥΠΑΛΑΙΑΣ";1334;516;438;62;120;256;78;818
3;626104;"ΔΗΜΟΣ ΛΕΙΨΩΝ";790;321;285;37;57;191;36;469
3;626105;"ΔΗΜΟΣ ΛΕΡΟΥ";7917;3113;2632;169;385;2078;481;4804
3;626106;"ΔΗΜΟΣ ΠΑΤΜΟΥ";3047;1337;1200;70;266;864;137;1710
3;626201;"ΔΗΜΟΣ ΚΑΡΠΑΘΟΥ";6226;2744;2305;177;398;1730;439;3482
3;626202;"ΔΗΜΟΣ ΚΑΣΟΥ";1084;334;267;41;55;171;67;750
3;626301;"ΔΗΜΟΣ ΚΕΑΣ";2455;988;896;143;272;481;92;1467
3;626302;"ΔΗΜΟΣ ΚΥΘΝΟΥ";1456;599;551;131;144;276;48;857
3;626401;"ΔΗΜΟΣ ΚΩ";33388;17291;15357;423;1556;13378;1934;16097
3;626402;"ΔΗΜΟΣ ΝΙΣΥΡΟΥ";1008;441;327;23;77;227;114;567
3;626501;"ΔΗΜΟΣ ΜΗΛΟΥ";4977;1965;1791;66;533;1192;174;3012
3;626502;"ΔΗΜΟΣ ΚΙΜΩΛΟΥ";910;219;199;21;71;107;20;691
3;626503;"ΔΗΜΟΣ ΣΕΡΙΦΟΥ";1420;543;484;43;144;297;59;877
3;626504;"ΔΗΜΟΣ ΣΙΦΝΟΥ";2625;982;902;74;254;574;80;1643
3;626601;"ΔΗΜΟΣ ΜΥΚΟΝΟΥ";10134;5555;4943;135;1006;3802;612;4579
3;626701;"ΔΗΜΟΣ ΑΜΟΡΓΟΥ";1973;825;737;120;157;460;88;1148
3;626702;"ΔΗΜΟΣ ΝΑΞΟΥ ΚΑΙ ΜΙΚΡΩΝ ΚΥΚΛΑΔΩΝ";18904;7789;6571;899;1420;4252;1218;11115
3;626801;"ΔΗΜΟΣ ΠΑΡΟΥ";13715;6081;5375;337;1375;3663;706;7634
3;626802;"ΔΗΜΟΣ ΑΝΤΙΠΑΡΟΥ";1211;456;396;46;81;269;60;755
3;626901;"ΔΗΜΟΣ ΡΟΔΟΥ";115490;54663;47009;1301;6343;39365;7654;60827
3;626902;"ΔΗΜΟΣ ΜΕΓΙΣΤΗΣ";492;213;199;14;49;136;14;279
3;626903;"ΔΗΜΟΣ ΣΥΜΗΣ";2590;1073;941;44;189;708;132;1517
3;626904;"ΔΗΜΟΣ ΤΗΛΟΥ";780;303;277;26;46;205;26;477
3;626905;"ΔΗΜΟΣ ΧΑΛΚΗΣ";478;234;191;11;38;142;43;244
3;627001;"ΔΗΜΟΣ ΤΗΝΟΥ";8636;3664;3164;225;829;2110;500;4972
3;717101;"ΔΗΜΟΣ ΗΡΑΚΛΕΙΟΥ";173993;79369;64269;2706;10136;51427;15100;94624
3;717102;"ΔΗΜΟΣ ΑΡΧΑΝΩΝ - ΑΣΤΕΡΟΥΣΙΩΝ";16692;6247;5361;1891;769;2701;886;10445
3;717103;"ΔΗΜΟΣ ΒΙΑΝΝΟΥ";5563;1993;1782;1007;132;643;211;3570
3;717104;"ΔΗΜΟΣ ΓΟΡΤΥΝΑΣ";15632;5321;4456;2183;600;1673;865;10311
